Gene	Num
ITPR2	7
ZAN	7
TAF1	7
HCN4	7
TRDN	7
VPS13A	7
RAPGEF2	7
AL645922.1	7
NOS3	7
KIAA0100	7
PCDHB10	7
DMXL1	7
PSD2	7
TTBK1	7
CHD6	7
CHD5	7
TOGARAM2	7
TAF1L	7
KIAA0586	7
COL4A5	7
PKD1	7
GOLGB1	7
TEX2	7
PCDHA8	7
MYO16	7
MYO9A	7
SLIT1	7
MGAM	7
UMODL1	7
PCDHA5	7
COL4A1	7
EPG5	7
H1-2	7
LRBA	7
GABRQ	7
ITGB5	7
SPATA31A1	7
KANSL1	7
DNAH11	7
NOTCH4	7
SIPA1L2	7
ATP13A1	7
PDE1C	7
GPR179	7
MMRN1	7
PHIP	7
IGF2R	7
MCTP2	7
IGSF3	7
BCL11A	7
PLEKHM1	7
ZNF462	7
PLXNA3	7
ABCC8	7
NBR1	6
TMEM132B	6
CCDC136	6
TRO	6
ZNF451	6
PCDHGA8	6
MYO3B	6
LTBP1	6
SOS1	6
JMJD1C	6
POTEE	6
ZC3H6	6
SIGLEC1	6
AKAP11	6
BTAF1	6
NOTCH1	6
MYT1	6
PTPN21	6
SHROOM3	6
ATAD2	6
RIMS2	6
EBF1	6
MYO15A	6
CEP126	6
ERN2	6
GBP2	6
RAPH1	6
IRF2	6
TRERF1	6
ATAD5	6
SALL4	6
SPATA31D1	6
CNTN2	6
CHUK	6
PDE6B	6
SLC30A1	6
ARMCX3	6
IL1RAPL2	6
ASTL	6
TTI2	6
CFAP46	6
NCOA7	6
PLXNB2	6
ADGRB2	6
PCARE	6
GRIA3	6
PHRF1	6
SLITRK5	6
GPRC6A	6
RANBP17	6
TRAK1	6
SLITRK6	6
COL5A3	6
CD109	6
ATP4A	6
PRICKLE1	6
ATP8B2	6
ERCC4	6
MAB21L1	6
ADGRB1	6
COL1A1	6
LMO7	6
SLCO5A1	6
DISP3	6
PRX	6
SLITRK2	6
FAM83H	6
NLRP7	6
DENND3	6
SLC44A5	6
PIWIL4	6
TLE4	6
TRPC7	6
TNS3	6
IWS1	6
GRIN1	6
NFASC	6
KCNA4	6
OR10Z1	6
CHST3	6
SORL1	6
ANKRD50	6
TNRC18	6
CREBBP	6
ADGRE1	6
COL2A1	6
GRM7	6
ATP13A5	6
CLSTN3	6
SPTB	6
DOCK4	6
DDX50	6
NFATC4	6
